Intel 80386 Opcode*;;Custom Opcode;;;;HEX;Instruction;;Operand 1;;Operand Type;;Operand 2;;Operand Type;;Notes;;;;;;;;
;;0000;0101;0000;0011;0503;LEA;;general register;;;;(Index*Scale)+Disp;;word;;;;;;;;;;
1000;1101;0000;0101;0000;1000;0508;LEA;;general register;;double word;;displacement;;double word;;;;;;;;;;
;;0000;0101;0000;1001;0509;LEA;;general register;;;;base reg;;double word;;;;;;;;;;
;;0000;0101;0000;1010;050A;LEA;;general register;;;;base + displacement;;double word;;;;;;;;;;
;;0000;0101;0000;1011;050B;LEA;;general register;;;;(Index*Scale)+Disp;;double word;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1000;0000;0110;0000;0000;0600;SUB;;register;;byte;;general register;;;;;;;;;;;;
;;0000;0110;0000;0001;0601;SUB;;displacement;;byte;;general register;;;;address is in displacement;;;;;;;;
;;0000;0110;0000;0010;0602;SUB;;base reg;;byte;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0110;0000;0011;0603;SUB;;base + displacement;;byte;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0110;0000;0100;0604;SUB;;(Index*Scale)+Disp;;byte;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1001;0000;0110;0001;0000;0610;SUB;;register;;word;;general register;;;;;;;;;;;;
;;0000;0110;0001;0001;0611;SUB;;displacement;;word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0110;0001;0010;0612;SUB;;base reg;;word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0110;0001;0011;0613;SUB;;base + displacement;;word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0110;0001;0100;0614;SUB;;(Index*Scale)+Disp;;word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;0000;0110;0001;1000;0618;SUB;;register;;double word;;general register;;;;;;;;;;;;
;;0000;0110;0001;1001;0619;SUB;;displacement;;double word;;general register;;;;address is in displacement;;;;;;;;
;;0000;0110;0001;1010;061A;SUB;;base reg;;double word;;general register;;;;address is in base register (general);;;;;;;;
;;0000;0110;0001;1011;061B;SUB;;base + displacement;;double word;;general register;;;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0110;0001;1100;061C;SUB;;(Index*Scale)+Disp;;double word;;general register;;;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1010;0000;0110;0010;0000;0620;SUB;;general register;;;;register;;byte;;;;;;;;;;
;;0000;0110;0010;0001;0621;SUB;;general register;;;;displacement;;byte;;address is in displacement;;;;;;;;
;;0000;0110;0010;0010;0622;SUB;;general register;;;;base reg;;byte;;address is in base register (general);;;;;;;;
;;0000;0110;0010;0011;0623;SUB;;general register;;;;base + displacement;;byte;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
;;0000;0110;0010;0100;0624;SUB;;general register;;;;(Index*Scale)+Disp;;byte;;offset is in displacement, Index register, scale of {1,2,4,8};;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
0010;1011;0000;0110;0011;0000;0630;SUB;;general register;;;;register;;word;;;;;;;;;;
;;0000;0110;0011;0001;0631;SUB;;general register;;;;displacement;;word;;address is in displacement;;;;;;;;
;;0000;0110;0011;0010;0632;SUB;;general register;;;;base reg;;word;;address is in base register (general);;;;;;;;
;;0000;0110;0011;0011;0633;SUB;;general register;;;;base + displacement;;word;;"offset is in displacement, base holds ""offset of offset""";;;;;;;;
